Time (s),Temperature (K)
1.065,1667.5206292526914
1.066,1667.3139537562683
1.067,1667.1218410396837
1.068,1667.0469077393022
1.069,1667.0774710720843
1.07,1667.1881790926154
1.071,1667.577305496346
1.072,1667.8505824652943
1.073,1667.7267740864386
1.074,1667.1617059311702
1.075,1667.0294651732274
1.076,1667.12385540287
1.077,1667.302569858769
1.078,1667.6292045060295
1.079,1667.8217809680546
1.08,1667.8288122547724
1.081,1666.9707856519599
1.082,1666.9814530945173
1.083,1667.0420943086783
1.084,1667.0209530711395
1.085,1667.0488766560907
1.086,1667.0990677226655
1.087,1667.285467675264
1.088,1667.2626130642302
1.089,1667.2012391017338
1.09,1666.8527981478128
1.091,1666.7186018899588
1.092,1666.749568382344
1.093,1666.760905806168
1.094,1666.54407127662
1.095,1666.5565993050054
1.096,1666.5436360685521
1.097,1666.4748682635527
1.098,1666.5020886612847
1.099,1666.5666814748397
1.1,1666.608872963223
1.101,1666.5426486283022
1.102,1666.5871972272453
1.103,1666.4799173145138
1.104,1666.2867173006316
1.105,1666.271447938212
1.106,1666.3326094073777
